Name	Position	AUS2013	State	DMP	PreviousAUS	AUSGames	Age	Interchange
Jarryd Hayne	1	Yes	NSW	No	Yes	12	26	No
Brett Morris	2	Yes	NSW	No	Yes	18	27	No
Josh Morris	3	Yes	NSW	No	Yes	4	27	No
Michael Jennings	4	Yes	NSW	No	Yes	2	26	No
Daniel Tupou	5	No	NSW	No	No	0	22	No
Josh Reynolds	6	No	NSW	No	No	0	25	No
Trent Hodkinson	7	No	NSW	No	No	0	25	No
Aaron Woods	8	No	NSW	No	No	0	23	No
Robbie Farah	9	Yes	NSW	No	Yes	7	30	No
James Tamou	10	Yes	NSW	No	Yes	10	25	No
Ryan Hoffman	11	No	NSW	No	Yes	5	30	No
Beau Scott	12	No	NSW	No	Yes	1	30	No
Paul Gallen	13	Yes	NSW	No	Yes	30	32	No
Trent Merrin	14	No	NSW	No	No	0	24	Yes
Anthony Watmough	15	No	NSW	No	Yes	16	30	Yes
Luke Lewis	16	Yes	NSW	No	Yes	15	30	Yes
Tony Williams	17	No	NSW	No	Yes	5	25	Yes
Billy Slater	1	Yes	QLD	No	Yes	24	30	No
Darius Boyd	2	Yes	QLD	No	Yes	16	26	No
Greg Inglis	3	Yes	QLD	Yes	Yes	29	27	No
Justin Hodges	4	No	QLD	No	Yes	13	32	No
Brent Tate	5	Yes	QLD	No	Yes	26	32	No
Johnathan Thurston	6	Yes	QLD	Yes	Yes	30	31	No
Cooper Cronk	7	Yes	QLD	Yes	Yes	22	30	No
Matt Scott	8	Yes	QLD	No	Yes	15	28	No
Cameron Smith	9	Yes	QLD	Yes	Yes	38	30	No
Nate Myles	10	Yes	QLD	No	Yes	8	28	No
Chris McQueen	11	No	QLD	No	No	0	26	No
Matt Gillett	12	No	QLD	No	Yes	1	25	No
Corey Parker	13	Yes	QLD	Yes	Yes	7	32	No
Daly Cherry-Evans	14	Yes	QLD	No	Yes	8	25	Yes
Ben Te'o	15	No	QLD	No	No	0	27	Yes
Josh Papalii	16	Yes	QLD	No	Yes	4	22	Yes
Aidan Guerra	17	No	QLD	No	No	0	26	Yes
